generation,genome_id,episode,reward,initial_distance,final_distance,avg_distance,distance_improvement,steps,goal_reached,initial_x,initial_z,final_x,final_z,target_x,target_z
0,20,1,-122.29016145853248,2273.0060156085965,4628.809244779245,3409.171852837602,-2355.8032291706486,30,False,-1171.006,0.2663773,-3525.007,-129.1559,1102.0,0.0
0,20,2,-75.57751066036971,2273.0000156751207,3694.5502288825146,3217.766975581281,-1421.5502132073939,30,False,-1171.0,0.266944,-2589.878,140.4928,1102.0,0.0
0,20,3,-116.218457646924,2273.000015704542,4507.369168643021,3407.9644980071957,-2234.369152938479,30,False,-1171.0,0.2671944,-3405.264,30.79053,1102.0,0.0
1,10,1,47.380140579474194,2273.0000153101373,1235.3972037206536,1519.0426294265906,1037.6028115894837,30,False,-1171.0,0.2638179,797.1041,-1197.182,1102.0,0.0
1,10,2,42.483401586765254,2273.0000156347237,1333.331983899419,1525.7140629088933,939.6680317353048,30,False,-1171.0,0.2665998,853.7996,-1310.027,1102.0,0.0
1,10,3,7.729198731051925,2273.0000158446924,2028.416041223654,1912.6190677400116,244.58397462103835,30,False,-1171.0,0.268384,552.6212,-1952.602,1102.0,0.0
1,16,1,38.22772034509736,2273.000015373377,1497.8356084714303,1584.096702550848,775.1644069019469,30,False,-1171.0,0.2643622,-334.1807,-425.3193,1102.0,0.0
1,16,2,49.55521193843613,2273.000015735461,1285.6307769667387,1489.9667048598099,987.3692387687224,30,False,-1171.0,0.2674573,-117.2247,-407.8451,1102.0,0.0
1,16,3,46.23681436515273,2273.0060156092413,1310.924728306187,1494.2827647292795,962.0812873030543,30,False,-1171.006,0.2663828,-132.6559,-440.6228,1102.0,0.0
1,21,1,13.35398646476765,2273.000015732461,1947.755286437108,1507.727645670928,325.2447292953532,30,False,-1171.0,0.2674318,-832.6709,225.3867,1102.0,0.0
1,21,2,50.546629286013356,2273.0080154513926,1223.8704297311256,1556.0823147129624,1049.137585720267,30,False,-1171.008,0.2650326,124.9705,737.07,1102.0,0.0
1,21,3,96.34505633645696,2273.000015747548,407.03388901840844,1084.8734424785805,1865.9661267291394,30,False,-1171.0,0.26756,717.1696,-132.5977,1102.0,0.0
1,22,1,-17.64389668719029,2273.0000154810778,2535.8779492248837,2409.1810718180573,-262.8779337438059,30,False,-1171.0,0.2652866,-1424.617,-216.526,1102.0,0.0
1,22,2,1.7975409057721157,2273.009015417101,2147.0581973016588,2311.0450104008232,125.95081811544242,30,False,-1171.009,0.2647384,-1017.788,-341.1125,1102.0,0.0
1,22,3,-2.047208293282626,2273.003015838331,2223.9471817039835,2320.269247338685,49.055834134347606,30,False,-1171.003,0.2683303,-1107.839,-250.1053,1102.0,0.0
1,23,1,36.895853847194566,2273.0000155091366,1445.0829385652455,1603.7693208510618,827.9170769438911,30,False,-1171.0,0.2655269,-343.0759,-4.510274,1102.0,0.0
1,23,2,2.2415156000802234,2273.000015726508,2171.184703724904,1731.6956289881375,101.81531200160407,30,False,-1171.0,0.2673812,486.517,-2082.12,1102.0,0.0
1,23,3,41.778880165772044,2273.000015736426,1358.1874124209853,1362.3498944624157,914.8126033154408,30,False,-1171.0,0.2674655,8.252841,-805.2268,1102.0,0.0
1,24,1,-32.70117353966411,2273.000015468417,2837.0234862616994,2074.714421305586,-564.0234707932823,30,False,-1171.0,0.2651781,-1734.774,-37.62359,1102.0,0.0
1,24,2,-36.954596052205076,2273.000015743028,2922.0919367871297,2214.5445924470873,-649.0919210441016,30,False,-1171.0,0.2675216,-1797.21,-364.9694,1102.0,0.0
1,24,3,-35.84797865079445,2273.010015863284,2899.969588879173,2175.109938093351,-626.959573015889,30,False,-1171.01,0.268542,-1737.073,-591.1752,1102.0,0.0
1,25,1,48.25275634543345,2273.000015666396,1279.2198887577265,1499.7152578908167,993.7801269086694,30,False,-1171.0,0.2668697,-122.0182,-371.7297,1102.0,0.0
1,25,2,49.04489665561583,2273.006015790395,1261.9430826780783,1475.3393472528753,1011.0629331123166,30,False,-1171.006,0.2679241,-82.27347,-435.8861,1102.0,0.0
1,25,3,48.1054013947566,2273.000015611673,1298.216987716541,1527.600955177855,974.7830278951319,30,False,-1171.0,0.2664032,-136.1334,-390.3755,1102.0,0.0
1,26,1,44.56810793809114,2273.0000154363743,1362.602856674552,1532.4261666285968,910.3971587618223,30,False,-1171.0,0.2649033,-173.1226,-480.3633,1102.0,0.0
1,26,2,51.5528493811919,2273.000015258045,1202.4680276342071,1494.7058755315707,1070.531987623838,30,False,-1171.0,0.2633687,5.982484,-494.6463,1102.0,0.0
1,26,3,29.42992158682783,2273.000015544494,1641.9365838079375,1738.9160705525496,631.0634317365566,30,False,-1171.0,0.2658294,-479.3312,-441.9812,1102.0,0.0
1,27,1,58.15255995416602,2273.000015595538,1164.5138165122173,1206.0082488455166,1108.4861990833208,30,False,-1171.0,0.2662655,114.9169,-617.8668,1102.0,0.0
1,27,2,55.11037613799898,2273.0140159250464,1189.3714931650666,1219.8746128681255,1083.6425227599798,30,False,-1171.014,0.2690645,259.8663,-839.8901,1102.0,0.0
1,27,3,46.61838813626805,2273.000015674663,1359.4972529493011,1198.8806617476826,913.5027627253617,30,False,-1171.0,0.2669401,54.14919,-866.1648,1102.0,0.0
